,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
95,0.81872,0.9002,selu,16,0.5,fastText,16,1.25,2,False,True,dense
140,0.48675,0.89919,elu,16,0.5,suc,48,0.8,3,True,True,bilstm
93,0.40792,0.89919,selu,16,0.5,suc,8,0.65,2,True,True,bilstm
0,0.34184,0.89617,elu,64,0.5,suc,128,0.65,1,False,True,dense
97,0.45468,0.89617,tanh,32,0.8,fastText,128,0.5,1,False,True,cnn
193,0.58399,0.89516,sigmoid,32,False,suc,128,0.5,2,False,True,bilstm
83,0.38833,0.89315,tanh,64,0.5,fastText,8,0.5,2,True,True,dense
34,0.47627,0.89315,elu,64,0.8,word2vec,256,0.65,1,True,True,cnn
75,0.84396,0.89315,elu,16,False,suc,16,1.5500000000000003,1,True,True,gru
163,0.24252,0.89315,elu,16,0.8,suc,48,0.8,1,False,True,gru
153,0.38977,0.89214,tanh,64,0.8,gloVe,64,1.7000000000000002,2,False,True,cnn
184,1.1758,0.89214,elu,16,0.5,fastText,64,1.7000000000000002,4,True,True,cnn
4,0.73381,0.89214,relu,32,0.2,suc,16,0.5,3,True,True,gru
85,0.39702,0.89214,tanh,64,0.8,fastText,128,1.1,1,False,True,dense
144,0.68791,0.89113,selu,64,False,gloVe,16,1.5500000000000003,2,True,True,bilstm
155,0.51013,0.89113,elu,64,0.5,word2vec,16,0.65,1,True,True,cnn
119,0.40195,0.89113,tanh,64,0.5,gloVe,64,0.8,3,True,True,gru
133,0.87708,0.89012,elu,32,0.2,gloVe,8,1.85,3,False,True,bilstm
84,0.66435,0.89012,tanh,64,0.5,fastText,128,1.25,4,True,True,bilstm
3,0.48162,0.89012,relu,32,0.5,word2vec,8,0.5,3,True,True,bilstm
126,0.74165,0.89012,sigmoid,16,0.5,fastText,128,1.1,4,False,True,bilstm
113,0.44081,0.88911,elu,32,0.5,gloVe,16,1.25,1,True,True,dense
76,0.43405,0.88911,elu,16,0.5,word2vec,128,0.65,1,True,True,dense
1,0.65428,0.8881,elu,64,0.2,suc,256,0.5,4,False,True,gru
199,0.59199,0.8881,selu,32,0.5,suc,48,1.25,1,False,True,gru
100,0.40892,0.8871,sigmoid,16,0.8,fastText,64,1.1,1,False,True,bilstm
77,0.98002,0.8871,tanh,32,0.8,word2vec,256,1.85,3,False,True,dense
45,0.75504,0.8871,sigmoid,32,False,fastText,48,1.7000000000000002,3,False,True,bilstm
125,0.77943,0.8871,elu,16,0.2,suc,64,1.25,3,True,True,dense
35,1.27935,0.88609,relu,16,0.2,suc,48,1.85,3,False,True,gru
172,0.97339,0.88609,relu,32,0.2,gloVe,64,1.7000000000000002,2,True,True,gru
181,1.08592,0.88609,relu,64,False,gloVe,256,0.9500000000000001,3,False,True,gru
62,0.59761,0.88609,elu,16,0.5,fastText,64,0.8,2,False,True,dense
89,0.35884,0.88609,selu,64,0.2,fastText,128,0.65,1,True,True,dense
