,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
0,0.66913,0.83538,elu,64,0.5,suc,128,0.65,1,False,True,dense
1,0.70071,0.83538,elu,64,0.2,suc,256,0.5,4,False,True,gru
2,0.69298,0.5092,relu,16,0.8,suc,48,1.4000000000000001,3,True,True,gru
3,0.57755,0.82106,relu,32,0.5,word2vec,8,0.5,3,True,True,bilstm
4,1.02115,0.84458,relu,32,0.2,suc,16,0.5,3,True,True,gru
5,0.92569,0.76125,tanh,16,False,gloVe,64,1.25,3,True,False,cnn
6,0.57371,0.73978,elu,64,0.2,fastText,8,1.7000000000000002,4,True,False,cnn
7,0.69298,0.5092,relu,64,0.8,gloVe,16,0.5,2,True,True,bilstm
8,1.76612,0.82464,elu,16,0.5,fastText,256,1.7000000000000002,1,False,True,cnn
9,0.4277,0.84407,elu,32,0.8,fastText,256,1.1,1,True,True,gru
10,0.60394,0.67996,selu,64,0.2,gloVe,256,0.8,4,True,False,dense
11,0.47383,0.76738,elu,64,0.5,word2vec,8,1.85,1,False,False,gru
12,0.64504,0.81697,sigmoid,64,0.2,fastText,8,1.7000000000000002,3,True,True,cnn
13,0.69078,0.77505,sigmoid,32,0.2,fastText,128,0.65,4,False,False,cnn
14,1.2145,0.82975,selu,32,0.2,word2vec,48,1.5500000000000003,4,True,True,gru
15,0.5882,0.68098,sigmoid,16,0.5,word2vec,256,1.4000000000000001,4,False,False,dense
16,0.51908,0.78783,selu,32,0.2,word2vec,128,0.65,4,True,False,bilstm
17,0.45864,0.79039,relu,16,0.5,word2vec,128,1.25,2,False,False,gru
18,0.53486,0.74335,selu,16,0.8,gloVe,128,0.8,2,False,False,cnn
19,0.4243,0.83487,selu,64,0.5,gloVe,8,0.65,3,True,True,gru
20,0.59377,0.67996,relu,64,0.5,suc,16,1.1,4,False,False,cnn
21,0.50932,0.78937,tanh,32,0.2,word2vec,64,1.4000000000000001,1,True,False,bilstm
22,0.69277,0.5092,selu,32,0.8,gloVe,48,0.5,3,False,False,bilstm
23,0.73126,0.83436,tanh,16,0.5,suc,48,1.5500000000000003,3,False,True,cnn
24,0.53737,0.78119,elu,32,0.5,suc,48,1.5500000000000003,2,True,False,cnn
25,0.48323,0.78988,elu,16,0.2,word2vec,48,1.25,4,True,False,bilstm
26,0.60584,0.66616,elu,64,0.5,gloVe,256,1.1,1,False,False,dense
27,0.70105,0.81902,tanh,64,0.5,suc,8,0.5,3,True,True,dense
28,0.53948,0.79243,tanh,16,0.2,word2vec,64,1.25,4,True,False,bilstm
29,1.14495,0.83078,selu,16,0.2,fastText,64,1.25,4,True,True,gru
30,0.6197,0.6636,tanh,32,0.5,word2vec,48,1.7000000000000002,2,False,False,dense
31,0.60531,0.67485,tanh,64,0.5,word2vec,8,1.25,4,True,False,dense
32,0.52159,0.75153,sigmoid,32,0.5,word2vec,16,1.1,4,True,False,gru
33,0.40626,0.81442,relu,16,0.5,word2vec,128,1.7000000000000002,3,True,False,bilstm
34,0.80152,0.841,elu,64,0.8,word2vec,256,0.65,1,True,True,cnn
35,1.66534,0.83333,relu,16,0.2,suc,48,1.85,3,False,True,gru
36,0.849,0.83691,tanh,16,False,suc,48,1.1,1,True,True,cnn
