,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
103,0.69703,0.48394,selu,64,0.8,suc,8,0.65,4,True,True,gru
152,0.69818,0.48394,elu,16,0.8,word2vec,256,1.85,3,True,False,gru
168,0.7922,0.48808,relu,64,0.8,gloVe,256,1.4000000000000001,1,True,False,gru
186,0.88126,0.49534,tanh,64,0.8,gloVe,256,0.5,2,True,False,bilstm
148,0.69263,0.51606,sigmoid,16,0.8,word2vec,256,0.8,4,False,True,cnn
90,0.69223,0.51606,tanh,32,0.8,fastText,8,1.85,3,True,False,dense
118,0.69258,0.51606,tanh,64,0.8,word2vec,48,0.8,4,True,True,bilstm
72,0.69263,0.51606,relu,64,0.8,fastText,8,0.5,4,True,False,gru
37,0.6932,0.51606,tanh,32,0.8,gloVe,256,1.4000000000000001,4,True,False,cnn
22,0.69235,0.51606,selu,32,0.8,gloVe,48,0.5,3,False,False,bilstm
145,0.69263,0.51606,relu,16,0.8,word2vec,48,0.65,2,True,False,bilstm
82,0.69272,0.51606,sigmoid,32,0.8,fastText,16,0.8,4,True,True,dense
41,0.69245,0.51606,tanh,64,0.8,suc,64,0.9500000000000001,4,False,True,dense
42,0.69265,0.51606,relu,64,0.8,fastText,256,1.1,4,False,False,gru
135,0.69263,0.51606,sigmoid,64,0.8,word2vec,16,1.1,2,False,False,bilstm
50,0.69222,0.51606,relu,64,0.8,suc,48,1.1,1,True,False,bilstm
106,0.69263,0.51606,elu,64,0.8,suc,48,0.9500000000000001,4,True,True,gru
105,0.69263,0.51606,relu,64,0.8,word2vec,48,0.5,4,False,True,cnn
7,0.69266,0.51606,relu,64,0.8,gloVe,16,0.5,2,True,True,bilstm
102,0.69264,0.51606,elu,32,0.8,gloVe,48,1.5500000000000003,4,True,True,bilstm
182,0.69225,0.51606,elu,32,0.8,gloVe,8,1.25,4,False,False,dense
173,0.69263,0.51606,relu,32,0.8,suc,48,1.5500000000000003,4,True,False,cnn
2,0.69264,0.51606,relu,16,0.8,suc,48,1.4000000000000001,3,True,True,gru
141,0.69263,0.51606,relu,32,0.8,fastText,256,1.85,2,True,True,bilstm
123,0.69265,0.51606,tanh,16,0.8,suc,8,0.8,4,False,True,cnn
63,0.69258,0.51606,tanh,64,0.8,suc,48,1.5500000000000003,3,True,False,bilstm
138,0.69323,0.5171,elu,32,0.8,gloVe,64,0.9500000000000001,4,False,True,dense
187,0.64545,0.61658,selu,64,0.8,fastText,128,1.85,2,False,False,bilstm
18,0.67715,0.65181,selu,16,0.8,gloVe,128,0.8,2,False,False,cnn
73,0.638,0.66218,elu,16,0.8,word2vec,256,0.9500000000000001,3,True,False,gru
143,0.60448,0.66528,selu,16,0.8,fastText,256,0.65,1,False,False,bilstm
174,0.62986,0.67047,relu,32,False,gloVe,48,1.25,2,True,False,dense
91,0.60068,0.67358,tanh,32,0.8,word2vec,256,0.9500000000000001,1,False,False,gru
26,0.61765,0.67565,elu,64,0.5,gloVe,256,1.1,1,False,False,dense
10,0.60408,0.67668,selu,64,0.2,gloVe,256,0.8,4,True,False,dense
46,0.65676,0.68705,sigmoid,16,0.8,gloVe,256,1.7000000000000002,1,False,False,cnn
55,0.59507,0.68808,tanh,64,0.8,fastText,16,1.5500000000000003,1,True,False,cnn
116,0.5791,0.68808,tanh,64,0.5,word2vec,128,0.65,3,True,False,dense
175,0.58904,0.69223,relu,16,0.2,gloVe,256,1.25,1,False,False,dense
92,0.61376,0.69223,sigmoid,64,0.8,suc,128,1.5500000000000003,1,True,False,gru
64,0.60777,0.69326,elu,32,False,fastText,16,1.85,1,True,False,dense
31,0.58035,0.69741,tanh,64,0.5,word2vec,8,1.25,4,True,False,dense
110,0.57749,0.70052,tanh,64,False,suc,8,0.5,2,False,False,dense
