,round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,epochs,first_neuron,lr,maxlen,number_of_layers,optimizer,reduce_dim,trainable,word_embeddings_architecture
0,22,0.0043453071266412735,0.9994813203811646,0.6696702837944031,0.803108811378479,elu,64,0.5,"{'key': 'suc', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [-0.10702   , -0.16535001, -0.023118  , ...,  0.08132   ,
         0.25141999,  0.15809999],
       [-0.10727   , -0.13511001, -0.12576   , ...,  0.12981001,
         0.21135999,  0.035919  ],
       ...,
       [-0.54916   , -0.43239999, -0.016672  , ...,  0.058385  ,
         0.10677   ,  0.44694   ],
       [ 0.2115    , -0.45175999,  0.046243  , ..., -0.11833   ,
         0.038351  ,  0.43132001],
       [-0.16041   , -0.031011  , -0.010727  , ...,  0.33723   ,
         0.63933003,  0.099017  ]])}",1000,128,0.65,100,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False,True,dense
1,19,0.05566950887441635,0.9795124530792236,0.7103532552719116,0.810362696647644,elu,64,0.2,"{'key': 'suc', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [-0.10702   , -0.16535001, -0.023118  , ...,  0.08132   ,
         0.25141999,  0.15809999],
       [-0.10727   , -0.13511001, -0.12576   , ...,  0.12981001,
         0.21135999,  0.035919  ],
       ...,
       [-0.54916   , -0.43239999, -0.016672  , ...,  0.058385  ,
         0.10677   ,  0.44694   ],
       [ 0.2115    , -0.45175999,  0.046243  , ..., -0.11833   ,
         0.038351  ,  0.43132001],
       [-0.16041   , -0.031011  , -0.010727  , ...,  0.33723   ,
         0.63933003,  0.099017  ]])}",1000,256,0.5,100,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False,True,gru
2,19,0.6927191019058228,0.5160788297653198,0.6926434636116028,0.5160622000694275,relu,16,0.8,"{'key': 'suc', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [-0.10702   , -0.16535001, -0.023118  , ...,  0.08132   ,
         0.25141999,  0.15809999],
       [-0.10727   , -0.13511001, -0.12576   , ...,  0.12981001,
         0.21135999,  0.035919  ],
       ...,
       [-0.54916   , -0.43239999, -0.016672  , ...,  0.058385  ,
         0.10677   ,  0.44694   ],
       [ 0.2115    , -0.45175999,  0.046243  , ..., -0.11833   ,
         0.038351  ,  0.43132001],
       [-0.16041   , -0.031011  , -0.010727  , ...,  0.33723   ,
         0.63933003,  0.099017  ]])}",1000,48,1.4000000000000001,100,3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,gru
3,33,0.40371614694595337,0.8049792647361755,0.6357314586639404,0.787564754486084,relu,32,0.5,"{'key': 'word2vec', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [-0.029648  ,  0.011336  ,  0.019949  , ..., -0.128057  ,
        -0.004917  ,  0.062628  ],
       [-0.022313  ,  0.022251  ,  0.036704  , ..., -0.087151  ,
        -0.020682  ,  0.033452  ],
       ...,
       [ 0.013047  ,  0.036636  , -0.01051   , ..., -0.12983599,
        -0.000236  ,  0.008599  ],
       [ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [ 0.038353  ,  0.057831  ,  0.037158  , ...,  0.021088  ,
         0.021138  ,  0.15865099]])}",1000,8,0.5,100,3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,bilstm
4,21,0.0566336028277874,0.9802904725074768,0.9891853928565979,0.806217610836029,relu,32,0.2,"{'key': 'suc', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [-0.10702   , -0.16535001, -0.023118  , ...,  0.08132   ,
         0.25141999,  0.15809999],
       [-0.10727   , -0.13511001, -0.12576   , ...,  0.12981001,
         0.21135999,  0.035919  ],
       ...,
       [-0.54916   , -0.43239999, -0.016672  , ...,  0.058385  ,
         0.10677   ,  0.44694   ],
       [ 0.2115    , -0.45175999,  0.046243  , ..., -0.11833   ,
         0.038351  ,  0.43132001],
       [-0.16041   , -0.031011  , -0.010727  , ...,  0.33723   ,
         0.63933003,  0.099017  ]])}",1000,16,0.5,100,3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,gru
5,17,0.045110639184713364,0.9844398498535156,1.2233787775039673,0.7119171023368835,tanh,16,False,"{'key': 'gloVe', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [ 0.46590999, -0.30695301, -0.121611  , ..., -0.51994503,
        -0.181563  ,  0.053406  ],
       [ 0.42249799, -0.30779999, -0.280862  , ..., -0.48532099,
        -0.33530799,  0.061957  ],
       ...,
       [ 0.042687  ,  0.63222897, -0.20854899, ...,  0.100405  ,
         0.050293  ,  0.053552  ],
       [ 0.49322   ,  0.329368  , -0.62429601, ..., -0.337681  ,
         0.47557399,  0.097629  ],
       [ 0.14485499,  0.131115  ,  0.25725299, ...,  0.193927  ,
         0.063264  , -0.006113  ]])}",1000,64,1.25,100,3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,False,cnn
6,21,0.3380230963230133,0.8731846213340759,0.6536557674407959,0.7181347012519836,elu,64,0.2,"{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 5.70000010e-03, -1.72000006e-02, -9.60000046e-03, ...,
        -2.49999994e-03,  1.39999995e-03, -2.38000005e-02],
       [-3.42000015e-02, -3.70000000e-03,  7.73999989e-02, ...,
         1.86000001e-02,  6.59999996e-03, -6.72999993e-02],
       [ 7.13000000e-02,  1.07000005e-02, -3.88000011e-02, ...,
        -1.74000002e-02, -2.53999997e-02,  5.02999984e-02]])}",1000,8,1.7000000000000002,100,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,False,cnn
7,16,0.6936100721359253,0.5142635107040405,0.6926645636558533,0.5160622000694275,relu,64,0.8,"{'key': 'gloVe', 'weights': array([[ 0.        ,  0.        ,  0.        , ...,  0.        ,
         0.        ,  0.        ],
       [ 0.46590999, -0.30695301, -0.121611  , ..., -0.51994503,
        -0.181563  ,  0.053406  ],
       [ 0.42249799, -0.30779999, -0.280862  , ..., -0.48532099,
        -0.33530799,  0.061957  ],
       ...,
       [ 0.042687  ,  0.63222897, -0.20854899, ...,  0.100405  ,
         0.050293  ,  0.053552  ],
       [ 0.49322   ,  0.329368  , -0.62429601, ..., -0.337681  ,
         0.47557399,  0.097629  ],
       [ 0.14485499,  0.131115  ,  0.25725299, ...,  0.193927  ,
         0.063264  , -0.006113  ]])}",1000,16,0.5,100,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,bilstm
8,17,0.017004970461130142,0.9958506226539612,1.5835697650909424,0.7689118981361389,elu,16,0.5,"{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 5.70000010e-03, -1.72000006e-02, -9.60000046e-03, ...,
        -2.49999994e-03,  1.39999995e-03, -2.38000005e-02],
       [-3.42000015e-02, -3.70000000e-03,  7.73999989e-02, ...,
         1.86000001e-02,  6.59999996e-03, -6.72999993e-02],
       [ 7.13000000e-02,  1.07000005e-02, -3.88000011e-02, ...,
        -1.74000002e-02, -2.53999997e-02,  5.02999984e-02]])}",1000,256,1.7000000000000002,100,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False,True,cnn
9,30,0.24711088836193085,0.8965249061584473,0.45845773816108704,0.814507782459259,elu,32,0.8,"{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 5.70000010e-03, -1.72000006e-02, -9.60000046e-03, ...,
        -2.49999994e-03,  1.39999995e-03, -2.38000005e-02],
       [-3.42000015e-02, -3.70000000e-03,  7.73999989e-02, ...,
         1.86000001e-02,  6.59999996e-03, -6.72999993e-02],
       [ 7.13000000e-02,  1.07000005e-02, -3.88000011e-02, ...,
        -1.74000002e-02, -2.53999997e-02,  5.02999984e-02]])}",1000,256,1.1,100,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,gru
